"","cat_a","cat_b","estado","canal","gec","lift"
"162","AGUA CON GAS","JUGOS Y NÉCTARES","VDM Oriente","OTROS","BRONCE",6
"163","AGUA SIN GAS","AGUA SIN GAS","VDM Oriente","OTROS","BRONCE",8
"164","COLAS","COLAS","VDM Oriente","OTROS","PLATA",1.11931818181818
"165","COLAS","SABORES","VDM Oriente","OTROS","PLATA",1.32366071428571
"166","AGUA CON GAS","COLAS","VDM Oriente","OTROS","PLATA",1.484375
"167","AGUA CON GAS","AGUA CON GAS","VDM Oriente","OTROS","PLATA",1.5
"168","AGUA SIN GAS","COLAS","VDM Oriente","OTROS","PLATA",1.5625
"169","SABORES","SABORES","VDM Oriente","OTROS","PLATA",3.10714285714286
"170","AGUA CON GAS","SABORES","VDM Oriente","OTROS","PLATA",3.35714285714286
"171","AGUA CON GAS","AGUA SIN GAS","VDM Oriente","OTROS","PLATA",5.25
"172","AGUA SIN GAS","SABORES","VDM Oriente","OTROS","PLATA",5.46428571428571
"173","AGUA SIN GAS","JUGOS Y NÉCTARES","VDM Oriente","OTROS","PLATA",9
"174","GARRAFON","NARANJADAS Y BEBIDAS","VDM Oriente","OTROS","SIN ASIGNAR",0
"175","COLAS","GARRAFON","VDM Oriente","OTROS","SIN ASIGNAR",2.70724373737642
"176","AGUA SIN GAS","COLAS","VDM Oriente","OTROS","SIN ASIGNAR",10.922802730396
"177","AGUA SIN GAS","GARRAFON","VDM Oriente","OTROS","SIN ASIGNAR",11.9874811463047
"178","COLAS","NARANJADAS Y BEBIDAS","VDM Oriente","OTROS","SIN ASIGNAR",14.0453964550844
"179","NARANJADAS Y BEBIDAS","COLAS","VDM Oriente","OTROS","SIN ASIGNAR",14.0453964550844
"180","COLAS","COLAS","VDM Oriente","OTROS","SIN ASIGNAR",15.0966708471237
"181","COLAS","SABORES","VDM Oriente","OTROS","SIN ASIGNAR",15.7010776582334
"182","GARRAFON","SABORES","VDM Oriente","OTROS","SIN ASIGNAR",17.2627148492533
"183","AGUA SIN GAS","AGUA SIN GAS","VDM Oriente","OTROS","SIN ASIGNAR",40.8084464555053
"184","AGUA SIN GAS","SABORES","VDM Oriente","OTROS","SIN ASIGNAR",45.2975517280062
"185","SABORES","SABORES","VDM Oriente","OTROS","SIN ASIGNAR",56.3952316805578
"186","NARANJADAS Y BEBIDAS","SABORES","VDM Oriente","OTROS","SIN ASIGNAR",67.7262501990763
"187","SABORES","NARANJADAS Y BEBIDAS","VDM Oriente","OTROS","SIN ASIGNAR",67.7262501990763
"188","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Oriente","OTROS","SIN ASIGNAR",73.6677476118653
"189","NARANJADAS Y BEBIDAS","AGUA SIN GAS","VDM Oriente","OTROS","SIN ASIGNAR",73.6677476118653
"190","COLAS","COLAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.32273078957538
"191","AGUA SIN GAS","COLAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.3618615706576
"192","COLAS","LÁCTEOS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.45524639258913
"193","COLAS","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.51853576441507
"194","COLAS","NARANJADAS Y BEBIDAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.54196751665776
"195","AGUA SIN GAS","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.64992365614268
"196","SABORES","AGUA SIN GAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.64992365614268
"197","AGUA SIN GAS","LÁCTEOS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.68607137649197
"198","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.69388056885141
"199","LÁCTEOS","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.84068927950613
"200","SABORES","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.90163713037545
"201","LÁCTEOS","NARANJADAS Y BEBIDAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.93723476241483
"202","NARANJADAS Y BEBIDAS","LÁCTEOS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.93723476241483
"203","NARANJADAS Y BEBIDAS","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","BRONCE",2.06221180747345
"204","NARANJADAS Y BEBIDAS","NARANJADAS Y BEBIDAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","BRONCE",2.25201351130503
"205","AGUA SIN GAS","AGUA SIN GAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","BRONCE",3.2329850262443
"206","ENERGIZANTES","NARANJADAS Y BEBIDAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",0.569451946385697
"207","NARANJADAS Y BEBIDAS","ENERGIZANTES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",0.569451946385698
"208","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",0.786813708832795
"209","NARANJADAS Y BEBIDAS","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.03318423449585
"210","NARANJADAS Y BEBIDAS","COLAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.10171469055853
"211","COLAS","NARANJADAS Y BEBIDAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.10171469055854
"212","AGUA CON GAS","NARANJADAS Y BEBIDAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.10378140369524
"213","NARANJADAS Y BEBIDAS","AGUA CON GAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.10378140369524
"214","COLAS","COLAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.5048467909565
"215","AGUA SIN GAS","COLAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.51186937814963
"216","AGUA CON GAS","AGUA SIN GAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.53011614637712
"217","AGUA CON GAS","COLAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.70860259153605
"218","COLAS","ENERGIZANTES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.72321156351313
"219","ENERGIZANTES","COLAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.72321156351313
